_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q1,Q20,Q21,Q22,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Correct Answer,,,
819386857,11/2/2015 16:33:03,1788512516,11/2/2015 16:27:18,false,elite,0.6591,30247532,USA,VA,Chester,68.57.118.32,True,True,True,True,True,True,True,True,True,True,True,False C,False A,False C,True,True,True,True,True,True,False C,True,0.789,,,
819386857,11/2/2015 16:43:15,1788518120,11/2/2015 16:36:19,false,bitcoinget,0.6477,30546513,GBR,G6,Hull,194.42.67.50,True,False A,True,False B,True,True,True,True,True,True,True,False B,True,True,False C,True,True,True,True,True,True,False B,0.737,,,
819386857,11/2/2015 16:55:04,1788524305,11/2/2015 16:51:30,false,instagc,0.608,16718271,USA,WA,Bellevue,67.160.99.79,False A,True,True,True,True,True,True,False A,True,True,True,False C,False A,False B,True,True,True,True,True,True,True,True,0.737,,,
819386857,11/2/2015 16:56:56,1788525273,11/2/2015 16:52:02,false,elite,0.6091,30064988,GBR,H3,Leeds,92.22.133.7,True,False A,True,True,True,True,True,True,True,True,True,False B,False A,True,True,True,True,True,False C,False C,True,True,0.737,,,
819386857,11/2/2015 17:00:41,1788527057,11/2/2015 16:56:35,false,instagc,0.6182,18985376,GBR,D2,Derby,86.27.159.112,True,True,True,False B,True,True,True,True,True,True,True,False C,False C,True,False A,True,True,True,True,True,True,True,0.789,,,
819386857,11/2/2015 17:14:51,1788534397,11/2/2015 17:09:08,false,prodege,0.6364,6579519,USA,OH,Eaton,71.55.59.242,True,True,True,True,True,True,True,True,True,True,True,False B,False A,False B,False C,True,True,True,True,True,True,True,0.789,,,
819386857,11/2/2015 17:30:32,1788541486,11/2/2015 17:15:43,false,elite,0.5844,30513549,USA,GA,Warner Robins,107.181.69.215,False B,False A,True,False B,True,True,True,True,True,True,False C,True,False A,False B,False A,True,True,True,True,True,True,True,0.632,,,
819386857,11/2/2015 17:42:56,1788548715,11/2/2015 17:34:50,false,prodege,0.6364,11521789,USA,CA,San Diego,108.178.173.218,True,False A,True,False A,True,True,True,False B,False A,True,True,False B,False A,True,True,True,True,True,True,True,True,False C,0.632,,,
819386857,11/2/2015 17:48:07,1788551630,11/2/2015 17:43:31,false,elite,0.6313,31956791,USA,PA,Slippery Rock,72.23.5.90,True,False A,True,True,True,True,True,True,True,True,True,False C,False A,False C,True,True,True,True,False C,True,False C,False C,0.632,,,
819386857,11/2/2015 17:52:01,1788553451,11/2/2015 17:46:01,false,fusioncash,0.6313,7461070,USA,FL,Orlando,107.199.12.87,True,True,True,True,True,True,True,True,True,True,True,False C,False A,False B,False C,True,True,True,True,False C,False C,True,0.684,,,
819386857,11/2/2015 17:53:22,1788554205,11/2/2015 17:47:44,false,bitcoinget,0.6944,21678835,USA,OH,Ironton,76.177.160.209,True,False A,True,True,True,True,True,True,True,True,True,False B,False A,False C,True,True,True,True,True,True,True,True,0.789,,,
819386857,11/2/2015 18:02:24,1788558662,11/2/2015 17:57:09,false,vivatic,0.65,12878402,GBR,F8,Stevenage,81.105.29.39,True,True,True,True,True,True,True,True,True,True,True,False B,False C,False B,True,True,True,True,True,False C,True,True,0.789,,,
819386857,11/2/2015 18:18:38,1788567467,11/2/2015 18:15:04,false,instagc,0.6906,13038918,USA,WV,Charleston,50.121.128.216,True,True,True,True,True,True,True,True,True,True,True,False B,False A,False C,True,True,True,True,True,False C,True,True,0.789,,,
819386857,11/2/2015 18:18:54,1788567609,11/2/2015 18:09:53,false,prodege,0.6486,27934334,GBR,D2,Derby,86.162.36.55,True,True,True,True,True,True,True,True,True,True,True,True,False C,False C,False C,True,True,True,True,True,False C,True,0.789,,,
819386857,11/2/2015 18:26:17,1788571083,11/2/2015 18:19:06,false,elite,0.5787,33975496,USA,,,208.31.49.58,True,False A,True,False B,False B,True,True,False A,False A,True,True,False B,False A,False B,True,True,True,False B,True,True,True,True,0.526,,,
819386857,11/2/2015 18:26:51,1788571382,11/2/2015 18:23:18,false,instagc,0.6101,30398579,USA,MA,Winchendon,73.38.174.116,True,True,True,True,True,True,True,True,True,True,True,True,False C,False C,False C,True,True,False C,True,True,False C,True,0.737,,,
819386857,11/2/2015 18:28:43,1788572324,11/2/2015 18:24:21,false,fastcashgpt,0.5629,31726334,USA,FL,Cape Coral,184.0.224.229,True,True,True,False A,False A,True,True,False A,False B,True,True,False C,False C,False B,True,True,True,True,False C,False C,True,True,0.526,,,
819386857,11/2/2015 18:30:08,1788573229,11/2/2015 18:23:46,false,prodege,0.6171,2034278,USA,NJ,Elizabeth,47.21.152.61,True,True,True,True,True,True,True,True,True,True,False C,False B,False C,False C,True,True,True,True,False C,True,False C,True,0.684,,,
819386857,11/2/2015 18:44:05,1788581544,11/2/2015 18:38:41,false,instagc,0.517,29308580,USA,FL,Hollywood,172.56.27.184,True,True,True,False A,False A,True,True,True,True,True,False C,True,False A,False C,False C,True,True,False C,False C,False A,False C,True,0.474,,,
819386857,11/2/2015 18:49:11,1788584684,11/2/2015 18:44:48,false,instagc,0.6534,20430407,USA,WI,Milwaukee,162.192.20.23,True,True,True,True,True,True,True,True,True,True,True,True,False C,False C,False C,True,True,True,False C,True,True,True,0.789,,,
819386857,11/2/2015 18:51:08,1788585853,11/2/2015 18:44:54,false,instagc,0.581,19828154,USA,TX,Van,184.21.109.181,False A,True,True,True,True,True,True,True,True,True,True,False B,False A,False B,False C,True,True,True,False C,False A,False C,False C,0.526,,,
819386857,11/2/2015 18:54:38,1788588564,11/2/2015 18:50:23,false,superrewards,0.6733,31767535,GBR,J5,Wallsend,94.8.175.141,True,True,True,True,True,True,True,True,True,True,True,True,False A,False C,True,True,True,True,True,True,True,False C,0.842,,,
819386857,11/2/2015 19:10:11,1788598538,11/2/2015 19:04:51,false,coinworker,0.573,33935063,USA,CA,Santa Rosa,184.23.210.44,True,True,True,False B,True,True,True,False A,True,True,False C,False B,True,False C,True,False C,True,True,False C,True,True,True,0.632,,,
819386857,11/2/2015 19:29:11,1788612130,11/2/2015 19:21:29,false,instagc,0.7069,19212463,USA,FL,Dunnellon,74.178.41.125,True,True,True,True,True,True,True,True,True,True,True,False B,False C,False C,False C,True,True,True,True,True,True,True,0.789,,,
819386857,11/2/2015 19:34:26,1788615962,11/2/2015 19:30:23,false,instagc,0.6651,33427067,USA,MA,Holyoke,24.41.68.35,True,True,True,True,True,True,True,True,True,True,True,False B,False A,False C,False C,True,True,True,False C,False C,False C,True,0.632,,,
819386857,11/2/2015 19:34:27,1788615973,11/2/2015 19:25:56,false,instagc,0.6615,21551272,GBR,,,92.24.65.101,True,True,True,True,True,True,True,True,True,True,True,False C,False C,False C,False C,True,True,True,False C,True,True,False B,0.682,,,
819386857,11/2/2015 19:35:17,1788616531,11/2/2015 19:31:12,false,instagc,0.7081,34949008,USA,GA,Carrollton,24.196.231.111,True,True,True,True,True,True,True,True,True,True,True,False C,False C,False C,True,True,True,True,True,True,True,True,0.842,,,
819386857,11/2/2015 19:41:59,1788620869,11/2/2015 19:34:34,false,prodege,0.7069,33275968,GBR,C8,Thornton Heath,87.115.140.115,True,True,True,True,True,True,True,True,True,True,True,False B,False C,False C,False C,True,True,True,True,True,True,True,0.789,,,
819386857,11/2/2015 19:55:49,1788629947,11/2/2015 19:45:37,false,instagc,0.6682,35061986,USA,MA,Plymouth,71.174.224.67,True,True,True,True,True,True,True,True,True,True,True,True,True,False C,True,True,True,False C,True,True,True,True,0.894,,0.7130344828,0.1075013232
